batch_size,lr,num_neurons,num_hidden_layers,value
631.0,0.00883775255535605,900.0,3.0,-0.014033702202141285
402.0,0.027182574768605847,1318.0,3.0,-0.014043874107301235
606.0,0.0382602277212895,181.0,4.0,-0.014043874107301235
576.0,0.022578621366882632,677.0,7.0,-0.014086103066802025
150.0,0.012778486422777787,1392.0,5.0,-0.01405388955026865
314.0,0.019496847378093148,634.0,4.0,-0.013975422829389572
971.0,0.012983438732283465,20.0,2.0,-0.0004282208063523285
227.0,0.04716003475417987,288.0,3.0,-0.014011794701218605
788.0,0.04136090348876335,784.0,1.0,-0.014008096419274807
169.0,0.03708568921370035,1000.0,7.0,-0.014043323695659636
140.0,0.048650935311678536,209.0,8.0,-0.014094341546297072
343.0,0.0009529902918980881,463.0,7.0,-0.0003400919635896571
341.0,0.003265199123513191,1424.0,4.0,-0.014060682617127895
880.0,0.04496526883761584,368.0,4.0,-0.014011794701218605
765.0,0.0216341170639234,982.0,9.0,-0.014025778509676456
973.0,0.008133609285474136,1398.0,3.0,-0.01385637279599905
911.0,0.013573708551877966,993.0,7.0,-0.014087930321693419
313.0,0.043102630700220086,869.0,9.0,-0.01401170901954174
691.0,0.037772073462991634,1262.0,4.0,-0.013932531699538231
174.0,0.04812562253347959,400.0,9.0,-0.01405388955026865
270.0,0.016098589462275232,637.0,8.0,-0.014087984338402746
978.0,1e-05,20.0,10.0,-0.00036012622120324534
362.0,0.04979652553634622,1495.0,8.0,-0.014041349291801451
147.0,0.005528666038547601,220.0,4.0,-0.01407540775835514
609.0,0.03084177444032122,32.0,6.0,-0.00035461022198433054
637.0,0.02769065448331815,37.0,8.0,-0.0003545892343390733
512.0,9.815276839457348e-05,1151.0,8.0,-0.00035425825597485533
560.0,0.03204510107341794,1479.0,9.0,-0.014094830490648746
976.0,0.010081522062760721,29.0,3.0,-0.0004006682834005915
904.0,0.027957334386602816,519.0,8.0,-0.014048147015273571
345.0,0.0459362106253606,1102.0,10.0,-0.01385637279599905
503.0,0.018180293164209303,482.0,2.0,-0.014076787047088146
1000.0,1e-05,691.0,9.0,-0.00035551931912777943
15.0,0.029543008176487917,50.0,2.0,-0.014064657501876354
650.0,1e-05,431.0,7.0,-0.00035523047990864136
933.0,0.0002931624057106903,1434.0,3.0,-0.00034862599102780217
998.0,0.04921439934070193,1427.0,6.0,-0.013975422829389572
977.0,0.0196857824836381,25.0,8.0,-0.00035445694957161324
150.0,0.00011732748756743304,870.0,9.0,-0.0003470862639369443
958.0,0.03047781335806595,29.0,7.0,-0.00035457263787975536
983.0,0.00039386711475519233,1008.0,7.0,-0.000352581080805976
63.0,0.0004928436780475474,36.0,5.0,-0.00034099526586942367
40.0,0.021512943654537185,1472.0,8.0,-0.014020220376551151
501.0,0.00018652104696095814,28.0,6.0,-0.00035431190888630227
23.0,0.019733914165277217,52.0,4.0,-0.01385637279599905
996.0,0.004024625146004512,283.0,1.0,-0.0006015828240197152
