,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90
sample1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample3,0.19321181,0.29258668,0.8045664,0.23781249,0.5095271,0.15090768,0.18437266,0.08930255,0.14495334,0.13070303,0.11149742,0.1459139,0.126258,0.07557364,0.20347655,0.15613452,0.16405058,0.07724186,0.17619628,0.19094095,0.17877746,0.09536359,0.1313627,0.20388374,0.16697839,0.11478209,0.1027277,0.1864866,0.14044207,0.10338372,0.16005374,0.11189529,0.1244178,0.14518903,0.16476285,0.25766173,0.10659568,0.13065886,0.16623206,0.22204727,0.2159775,0.14486979,0.22722226,0.22395287,0.44959003,0.18488933,0.13178971,0.1685724,0.12800382,0.17409885,0.134226,0.10783644,0.17130181,0.10951687,0.17919376,0.16086002,0.07910437,0.07680157,0.11770563,0.13734782,0.12060654,0.03715246,0.17096433,0.17923678,0.13830149,0.27119327,0.08161187,0.14751413,0.19732358,0.1279704,0.14423484,0.066175714
sample4,0.4542634,0.19482182,0.42313302,0.21553724,0.7897973,0.23052372,0.15836744,0.15191543,0.12713972,0.12695657,0.28925928,0.2698326,0.28662843,0.19794221,0.17531867,0.2293702,0.23490864,0.03933704,0.37544063,0.10108183,0.105580464,0.19048473,0.31241995,0.25021458,0.14298105,0.19618884,0.20323227,0.16046906,0.20144057,0.09710729,0.16166717,0.12460804,0.16826345,0.22558492,0.17687772,0.23614296,0.2325303,0.21200213,0.1454321,0.09182711,0.3393402,0.25550288,0.19087833,0.28058645,0.5168774,0.26104635,0.045415174,0.20622908,0.38292623,0.17585555,0.054991543,0.1036065,0.12325889,0.08466717,0.12730038,0.31353456,0.044553168,0.04137632,0.1352833,0.111877516,0.102064356,0.061283514,0.33837748,0.07897249,0.18082625,0.064569235,0.14089456,0.058859605,0.10804247,0.08108705,0.11777156,0.16053808
sample5,0.44419494,0.09487028,0.12847075,0.05117304,0.6788107,0.09674254,0.0768799,0.084729664,0.054110575,0.02031187,0.12119784,0.0931174,0.052995194,0.03356551,0.06601551,0.09378325,0.08907589,0.063608766,0.17951064,0.07530545,0.06211867,0.108789906,0.119459614,0.08331123,0.07285741,0.023846768,0.11217457,0.10654403,0.065852165,0.048954092,0.049779687,0.0774775,0.08485425,0.077639334,0.08336406,0.07502142,0.088803776,0.12046085,0.036423042,0.04560976,0.13663547,0.12084517,0.10110955,0.07767801,0.259985,0.14347106,0.09362854,0.114407614,0.15224439,0.06115044,0.03377048,0.06284027,0.047726482,0.071462765,0.048600458,0.097948186,0.061283544,0.032795507,0.07063718,0.04309372,0.061179698,0.026559524,0.09759086,0.04905074,0.12566766,0.07057449,0.05465138,0.016380325,0.058293015,0.031431336,0.06683967,0.08920667
sample6,0.305346,0.13246094,0.10395022,0.04106755,0.38214207,0.11284532,0.087890185,0.06627614,0.040298417,0.05796887,0.08634497,0.04773415,0.03619255,0.038071834,0.046947278,0.06507605,0.13179514,0.05755662,0.11919065,0.085849136,0.041058704,0.09216781,0.08145569,0.07194377,0.045110337,0.037321106,0.11291146,0.07233134,0.043764263,0.02314768,0.032345004,0.050417565,0.048971705,0.08411475,0.06947973,0.061227806,0.09649786,0.11854723,0.04524659,0.047597487,0.10742126,0.10069993,0.11316898,0.040559858,0.5194975,0.09269828,0.07312184,0.102485284,0.11447471,0.0791256,0.048718832,0.056097373,0.04221031,0.064431846,0.044132646,0.047079004,0.041925047,0.037487004,0.05542658,0.054020684,0.06076575,0.021399029,0.0886409,0.036989868,0.09140937,0.048627198,0.016269634,0.0113223195,0.039733097,0.044391654,0.013785265,0.09567675
sample7,0.17427097,0.15824567,0.39423668,0.19036865,0.34083176,0.18626443,0.20393655,0.20276693,0.12540482,0.16682214,0.23071614,0.2480456,0.0864443,0.14340577,0.13835911,0.14551334,0.18466148,0.057097107,0.18762323,0.17640845,0.15398547,0.23435901,0.2527011,0.17709243,0.07860518,0.1462486,0.26042092,0.19640726,0.1293427,0.07054404,0.07928032,0.11449255,0.1666586,0.17692609,0.14033997,0.1481531,0.21189016,0.14189252,0.07487111,0.120813414,0.23971468,0.24917668,0.14727992,0.20245449,0.7702303,0.34519106,0.06557562,0.16682962,0.20723113,0.2090667,0.08499325,0.048037026,0.11150039,0.11618539,0.096674345,0.22635318,0.11143617,0.07461442,0.062361192,0.099619076,0.110069185,0.10732809,0.26619035,0.092201956,0.19415978,0.1201832,0.11441417,0.08922296,0.1261705,0.10925432,0.06710461,0.12872463
sample8,0.1828231,0.1642986,0.1805166,0.08763175,0.3521699,0.14747638,0.08964178,0.10351963,0.07199301,0.066308536,0.11444199,0.08038357,0.044588987,0.065894954,0.07492694,0.11556026,0.15426794,0.048949882,0.09651365,0.10630677,0.123776466,0.19022562,0.2880955,0.10321469,0.04981465,0.049159594,0.120576516,0.096663155,0.04658313,0.03295292,0.049765054,0.07203019,0.11450639,0.095941134,0.06542763,0.08953394,0.12076963,0.09997848,0.06976951,0.08742499,0.17149898,0.12548593,0.12615615,0.099878475,0.51220906,0.16560815,0.08384186,0.11849308,0.11374527,0.11646472,0.05188319,0.045846395,0.07993434,0.073079154,0.080896206,0.11444867,0.05354103,0.07101788,0.074878395,0.07164529,0.054199316,0.037114725,0.13636695,0.0774938,0.0836055,0.08752045,0.043746553,0.051214088,0.090767786,0.06916285,0.021213003,0.10353233
sample9,0.16483295,0.5107794,0.063684225,0.04840639,0.1957785,0.1074031,0.04255375,0.08041309,0.081077695,0.06600024,0.03129358,0.050671685,0.025520999,0.046146438,0.08945436,0.10950853,0.26415455,0.09020062,0.10818155,0.11279981,0.058032423,0.11000635,0.050974652,0.059122816,0.03350289,0.055219132,0.10164507,0.09057906,0.073340826,0.027789447,0.07623105,0.068058476,0.07643592,0.1574281,0.010334092,0.09680342,0.120395705,0.2404942,0.043639813,0.07018362,0.13539465,0.053649068,0.12396523,0.08334029,0.44807115,0.05762271,0.097233236,0.13474804,0.11338468,0.0252534,0.07047072,0.04643473,0.030997917,0.084335126,0.040770635,0.036816493,0.06810281,0.01674415,0.031016704,0.122806996,0.08498093,0.032368384,0.11973704,0.07860998,0.059426963,0.091349185,0.051947206,0.042561688,0.046066433,0.06231785,0.02106946,0.092982285
sample10,0.12456438,0.27444935,0.122512855,0.057730995,0.23645899,0.11930062,0.06378822,0.108135365,0.098662645,0.0543739,0.03999906,0.053461026,0.1308653,0.04305751,0.10069228,0.11576541,0.16526532,0.07046801,0.10934022,0.11462338,0.28906125,0.5324081,0.10549225,0.13924468,0.03681568,0.0786615,0.06903151,0.08948682,0.100070074,0.057041306,0.07151063,0.09054988,0.20357876,0.07907954,0.0,0.14830217,0.15142412,0.15137176,0.05541075,0.08767725,0.1290036,0.1387404,0.105501354,0.04337877,0.19680245,0.13923699,0.11290994,0.15683195,0.07127867,0.054237973,0.07512082,0.054640904,0.033961236,0.069115944,0.04326429,0.015500724,0.03599865,0.062837996,0.054078523,0.097505294,0.08945235,0.056233726,0.11076729,0.08916871,0.13370612,0.09661461,0.06541603,0.029377136,0.052342474,0.014659449,0.051119447,0.07668598
