,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown
sample1,0.0,0.0,0.026923547,0.0,0.011906895,0.0,0.0,0.0,0.0,0.0,0.01359906,0.011005297,0.06897861,0.0,0.015813028,0.028587714,0.03937374,0.041149776,0.0,0.0,0.0,0.0,0.03822295,0.0,0.0,0.056944836,0.0,0.0223647,0.03370177,0.0,0.0,0.0,0.0,0.03892443,0.0,0.0,0.024608621,0.025316924,0.0,0.014028734,0.030696956,0.0,0.0,0.017103344,0.01577463,0.0,0.014312867,0.0,0.03114623,0.0,0.0,0.0,0.053294502,0.0,0.0,0.0,0.0,0.0,0.03872334,0.0,0.011481269,0.0,0.013127056,0.12382752,0.0,0.024631133,0.0,0.03523316,0.0,0.0,0.0,0.0,0.07919729
sample2,0.0,0.04926127,0.02023089,0.021809313,0.0,0.0,0.0,0.0,0.041279767,0.0,0.026167762,0.0,0.0,0.0,0.0,0.019933913,0.032750815,0.057482067,0.0,0.046467934,0.030375173,0.0,0.026921172,0.012022863,0.058969475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030895026,0.0,0.0,0.0,0.0,0.014271722,0.0,0.0209719,0.02153058,0.0,0.0,0.018879477,0.0,0.0,0.022514721,0.029230308,0.040055666,0.0,0.0,0.0,0.0,0.02595504,0.023678452,0.022195086,0.0,0.0,0.03036584,0.02993388,0.0,0.038647417,0.0,0.037177615,0.0,0.0,0.03517102,0.0,0.025910575,0.011731743,0.0,0.07721162
sample3,0.020623289,0.0291368,0.79501826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05595904,0.0,0.0,0.0,0.0,0.0,0.032755993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04497706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021529555
sample4,0.30297777,0.013867504,0.0,0.0,0.4331048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011840954,0.0,0.0,0.0,0.0,0.0,0.09353717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14116676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035050511
sample5,0.32464442,0.0,0.0,0.0,0.5292391,0.04437277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01917128,0.042479694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040092707
sample6,0.22051716,0.049615107,0.0,0.0,0.26995584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41037217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049539685
sample7,0.021896582,0.0,0.0,0.0,0.082515165,0.0,0.0,0.0,0.0,0.0,0.0,0.010595622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036459588,0.09878589,0.046413146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426485,0.22796471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032720864
sample8,0.06445481,0.0,0.0,0.0,0.20470664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062107105,0.107084036,0.22303869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31041428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028194487
sample9,0.10358718,0.4842322,0.0,0.0,0.09185629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03991869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039197206
sample10,0.040185045,0.1379794,0.0,0.0,0.10299149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032271944,0.0,0.0,0.0,0.1602493,0.35704947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10198154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02848108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03881073
