batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,normalize_mut,value
101.0,0.0015814551885489207,424.0,9.0,760.0,9.0,69398.0,-0.0024288476666333735
414.0,0.002015008293462635,918.0,7.0,473.0,4.0,79279.0,-0.00023668310583161657
316.0,0.0025843030251815214,123.0,7.0,389.0,3.0,97467.0,-0.00018850349901185836
184.0,0.0024494347304017455,863.0,1.0,89.0,5.0,91992.0,-0.00014941987425117986
640.0,0.0009384098716827186,389.0,6.0,732.0,10.0,24290.0,-0.00019582332213758492
807.0,0.0012704026263968035,731.0,10.0,69.0,6.0,31625.0,-0.00024194948113290593
923.0,0.0008769966840721624,907.0,6.0,955.0,1.0,38806.0,-0.00020374550142150837
979.0,0.0012861687163098015,702.0,7.0,30.0,6.0,22583.0,-0.00023526923883764538
420.0,0.002325168616576197,1115.0,2.0,85.0,2.0,79944.0,-0.00018251329220220214
763.0,0.0003027068436396686,806.0,6.0,1049.0,6.0,18132.0,-0.0002061815703564207
744.0,0.0011098085244871663,602.0,6.0,747.0,6.0,41663.0,-0.000199305624992121
828.0,0.0013277132757969854,597.0,6.0,944.0,5.0,3351.0,-0.00019767898094869452
624.0,0.0005548949812750528,464.0,6.0,821.0,5.0,36339.0,-0.0001928329384099925
899.0,0.000947079193524484,522.0,6.0,839.0,6.0,32952.0,-0.0002029007398232352
734.0,0.00038011870773506666,783.0,6.0,668.0,5.0,7232.0,-0.00020102357400901384
979.0,0.0004643294031875025,508.0,6.0,951.0,6.0,22234.0,-0.00022094074105552864
798.0,0.0012925100247457581,500.0,6.0,901.0,5.0,20058.0,-0.00019982662324764534
688.0,1.8170636894445203e-05,683.0,6.0,987.0,5.0,29047.0,-0.00025184700531099224
814.0,0.0004595424242096614,381.0,6.0,626.0,5.0,34485.0,-0.00020951212132786168
