batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,normalize_mut,value
101.0,0.0015814551885489207,424.0,9.0,760.0,9.0,69398.0,-0.002428847666633373
414.0,0.002015008293462636,918.0,7.0,473.0,4.0,79279.0,-0.00023668310583161657
316.0,0.002584303025181521,123.0,7.0,389.0,3.0,97467.0,-0.00018850349901185839
184.0,0.002449434730401745,863.0,1.0,89.0,5.0,91992.0,-0.00014941987425117986
640.0,0.0009384098716827186,389.0,6.0,732.0,10.0,24290.0,-0.0001958233221375849
807.0,0.0012704026263968035,731.0,10.0,69.0,6.0,31625.0,-0.00024194948113290601
923.0,0.0008769966840721624,907.0,6.0,955.0,1.0,38806.0,-0.0002037455014215084
979.0,0.0012861687163098015,702.0,7.0,30.0,6.0,22583.0,-0.0002352692388376453
420.0,0.002325168616576197,1115.0,2.0,85.0,2.0,79944.0,-0.00018251329220220214
763.0,0.0003027068436396686,806.0,6.0,1049.0,6.0,18132.0,-0.00020618157035642067
744.0,0.0011098085244871665,602.0,6.0,747.0,6.0,41663.0,-0.000199305624992121
828.0,0.0013277132757969856,597.0,6.0,944.0,5.0,3351.0,-0.0001976789809486945
624.0,0.0005548949812750529,464.0,6.0,821.0,5.0,36339.0,-0.0001928329384099925
899.0,0.000947079193524484,522.0,6.0,839.0,6.0,32952.0,-0.00020290073982323517
734.0,0.00038011870773506666,783.0,6.0,668.0,5.0,7232.0,-0.00020102357400901384
979.0,0.0004643294031875025,508.0,6.0,951.0,6.0,22234.0,-0.00022094074105552866
798.0,0.001292510024745758,500.0,6.0,901.0,5.0,20058.0,-0.0001998266232476453
688.0,1.817063689444521e-05,683.0,6.0,987.0,5.0,29047.0,-0.00025184700531099224
814.0,0.00045954242420966133,381.0,6.0,626.0,5.0,34485.0,-0.00020951212132786168
246.0,0.003200557097636719,24.0,7.0,821.0,9.0,38375.0,-8.68301003348417
357.0,0.002594275219501766,824.0,1.0,1140.0,5.0,20640.0,-0.0011951090150978414
278.0,0.001961722728732498,573.0,1.0,870.0,6.0,85496.0,-0.0001533726892012055
525.0,0.0011924245025915158,1471.0,4.0,460.0,4.0,53268.0,-0.00019520948444551323
267.0,0.0005762350844301727,1383.0,8.0,658.0,5.0,84503.0,-0.00020583396813890432
177.0,0.0043976198687953215,1394.0,2.0,167.0,1.0,94426.0,-0.000281103066590731
795.0,0.001087476058611928,80.0,2.0,1111.0,1.0,41515.0,-0.0002019266853676527
721.0,0.00010298533043590122,1363.0,8.0,719.0,7.0,77829.0,-0.0002414325248537353
289.0,0.001586817661535721,904.0,2.0,78.0,9.0,88220.0,-0.00015795518247614388
635.0,0.0013828706579461175,83.0,5.0,314.0,7.0,43311.0,-0.0002064992376108421
430.0,0.0038214621313859493,942.0,7.0,288.0,8.0,82109.0,-0.0006838000259813268
649.0,0.004732610585318698,553.0,1.0,195.0,4.0,57697.0,-0.0001805835716368165
630.0,0.0006226138164243782,540.0,7.0,21.0,6.0,88447.0,-0.00022151880606543272
540.0,0.0028095118569522425,1449.0,3.0,237.0,2.0,35141.0,-0.0003028853226715001
800.0,0.003967868793977501,1446.0,5.0,140.0,10.0,68436.0,-20.673892237203837
423.0,0.0003569900516125623,694.0,4.0,192.0,1.0,12998.0,-0.0001689108160280739
769.0,0.0006328554605578363,887.0,4.0,1164.0,5.0,87163.0,-0.00017441744854295393
947.0,0.0013816656230812734,45.0,10.0,303.0,4.0,53049.0,-0.00024740726770687614
1000.0,1e-05,1500.0,10.0,20.0,1.0,100000.0,-0.018507484316796764
50.0,1e-05,95.0,10.0,20.0,7.0,100000.0,-0.00025278965273173526
1000.0,0.005,873.0,10.0,782.0,1.0,100000.0,-1383928655.3600798
1000.0,0.0038936656252592187,20.0,1.0,20.0,10.0,100000.0,-0.0002472068547285744
50.0,0.0035769461485353924,1500.0,5.0,20.0,1.0,100000.0,-464846710.08004415
1000.0,0.005,20.0,3.0,1500.0,10.0,1000.0,-19409522791546.88
