batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,pnorm_order,lagrange_smalltozero,lagrange_pnorm,lagrange_missclassification_0,lagrange_missclassification_1,lagrange_missclassification_2,lagrange_missclassification_3,lagrange_missclassification_4,lagrange_missclassification_5,lagrange_missclassification_6,lagrange_missclassification_7,lagrange_missclassification_8,lagrange_missclassification_9,lagrange_missclassification_10,lagrange_missclassification_11,lagrange_missclassification_12,lagrange_missclassification_13,lagrange_missclassification_14,lagrange_missclassification_15,lagrange_missclassification_16,lagrange_missclassification_17,lagrange_missclassification_18,lagrange_missclassification_19,lagrange_missclassification_20,lagrange_missclassification_21,lagrange_missclassification_22,lagrange_missclassification_23,lagrange_missclassification_24,lagrange_missclassification_25,lagrange_missclassification_26,lagrange_missclassification_27,lagrange_missclassification_28,lagrange_missclassification_29,lagrange_missclassification_30,lagrange_missclassification_31,lagrange_missclassification_32,lagrange_missclassification_33,lagrange_missclassification_34,lagrange_missclassification_35,lagrange_missclassification_36,lagrange_missclassification_37,lagrange_missclassification_38,lagrange_missclassification_39,lagrange_missclassification_40,lagrange_missclassification_41,lagrange_missclassification_42,lagrange_missclassification_43,lagrange_missclassification_44,lagrange_missclassification_45,lagrange_missclassification_46,lagrange_missclassification_47,lagrange_missclassification_48,lagrange_missclassification_49,lagrange_missclassification_50,lagrange_missclassification_51,lagrange_missclassification_52,lagrange_missclassification_53,lagrange_missclassification_54,lagrange_missclassification_55,lagrange_missclassification_56,lagrange_missclassification_57,lagrange_missclassification_58,lagrange_missclassification_59,lagrange_missclassification_60,lagrange_missclassification_61,lagrange_missclassification_62,lagrange_missclassification_63,lagrange_missclassification_64,lagrange_missclassification_65,lagrange_missclassification_66,lagrange_missclassification_67,lagrange_missclassification_68,lagrange_missclassification_69,lagrange_missclassification_70,lagrange_missclassification_71,value
326.0,0.0009493807751408389,260.0,5.0,383.0,4.0,5.0,3.0460910414369056,89700.84204924901,0.07639444043485583,0.014765148096080996,0.059304118594918215,0.06036489865014169,0.044346272097372526,0.012849063827166295,0.023425852584168447,0.05190602220898367,0.01812029320607754,0.015612147927740374,0.039398842501720814,0.08011958691781423,0.04817457848739842,0.009516342813367658,0.09044286843049501,0.008950556614381473,0.09938195343310585,0.09367754311967116,0.08144689300105376,0.07654398336713988,0.055244233995211854,0.04772134753009259,0.023678855149272794,0.08751063407839041,0.018067755739893974,0.09899834445485389,0.029400835215915074,0.025493995238111553,0.08220214547722951,0.05506130121976158,0.0888246271423905,0.025906379041531646,0.014989493830544945,0.07150642548193545,0.06830808383267631,0.018119088031903846,0.08776622950976756,0.023430422503845704,0.05357859011012279,0.042821537953780874,0.04582791549234722,0.06513748022272318,0.021481144942882016,0.05960112566076692,0.014962980123850864,0.06852719525550295,0.051995066691609804,0.019182502471553058,0.05603337341762378,0.03798366864790968,0.05723038077691388,0.05496450003231596,0.05941058725086078,0.008512250108910428,0.03048737773788596,0.08418968258345347,0.09507983639588591,0.035354307607533476,0.010273444002216022,0.07574371088737791,0.02186049923772477,0.04648750772278111,0.09245768666441767,0.029374066824319568,0.08108088642130495,0.08701705242390273,0.009147677423803735,0.05420033627323272,0.03537244540518793,0.014441048911496474,0.060996816802709186,0.08509538189971594,-0.04155910462141037
250.0,0.0005321207249568812,400.0,5.0,511.0,6.0,8.0,3.8331755913285495,52317.031291921994,0.027954570916193536,0.07867151104056716,0.06318202145623908,0.09967989462141372,0.01088735701616489,0.0854373502807192,0.015394557648377761,0.016977379771213726,0.08155602098872552,0.09668935997480185,0.09921217294566509,0.08449696145970773,0.029222746968016237,0.01931101066895368,0.0688215437246093,0.05505898793526128,0.09514884479407204,0.05796097065541491,0.0750130084038754,0.06676022284663696,0.022637125021213074,0.03539677443793507,0.07525900067973115,0.02453232001972923,0.0564132411584472,0.07105156523124537,0.050040105997157906,0.09090296842791684,0.06696358867735674,0.07945067313779244,0.09425894163217022,0.024012948606537007,0.06288797484982947,0.09689354355055671,0.0892553020938989,0.06397130678156787,0.047182039909481825,0.029228889254760006,0.04691036440252173,0.02966755643347444,0.05775871297119497,0.07256769166342397,0.0684072573133048,0.061645011283157976,0.014887874630331043,0.09688868011053584,0.013338736034157186,0.09344851807386886,0.029433464875031283,0.012250137920142429,0.08638182004961112,0.05638294438956104,0.08635663380039965,0.09441652533039954,0.011161928364565692,0.05020125313551967,0.09179830352271567,0.0792136776248456,0.03081092841337704,0.07520202188704869,0.0839700590982726,0.020661462863784383,0.017602283152902576,0.09222562790430766,0.0724081801174695,0.08672326288110507,0.023489609854829556,0.02422963184581922,0.012927822404735424,0.08373090446021539,0.030894740683145253,0.07974437770677956,-0.03761930651962757
375.0,0.00010823196473929895,856.0,3.0,446.0,2.0,9.0,5.303257030007173,87864.24302167784,0.056208519346862926,0.008686241637201862,0.018460385091902835,0.056387365304569406,0.09208898798730353,0.08553256390546635,0.08326523786354242,0.06338896786084608,0.017555012514017636,0.056802705479116485,0.06375912734636086,0.09499528777246591,0.04730919672105,0.06240739685075968,0.048306071491266984,0.06571760398618173,0.035109681810186075,0.02406412292952501,0.015133278684290222,0.022164870026040277,0.06262033192313524,0.07954989282414779,0.017920199303000796,0.06773591614391429,0.0943096988050951,0.0412626884892209,0.009087552074521459,0.02977854995656214,0.07174515337150511,0.0883677038892749,0.027014893744097504,0.029650817346896362,0.06536530574841043,0.027713888459166867,0.08148252587764199,0.09312073513037541,0.09197010549636003,0.028811705135488575,0.05592302150516309,0.06623974687177037,0.0957617764199403,0.09516082546581117,0.08613869302394966,0.0627872353102451,0.07536972071916401,0.09590602504268167,0.04068048717124107,0.04958217902399457,0.08677656835127145,0.01288586265578369,0.027358095626861357,0.07911635209885529,0.07541353763859787,0.046935504833739,0.09134676246213794,0.0843922637939446,0.05369985435432618,0.05809316250314886,0.07126753736930605,0.03348827405068189,0.04052337984766335,0.0846932531689022,0.0386915615124547,0.06444633010886369,0.017998248368389324,0.04536146225782319,0.04273631380778482,0.0450064752840406,0.022800295040031143,0.0887043603002253,0.08163554557410693,0.07240570913430514,-0.08175164125859738
105.0,0.0005679730862712444,345.0,2.0,425.0,3.0,5.0,5.486102635426521,49410.915706855856,0.04949128345023872,0.0886511492929378,0.03036640748686924,0.07028619191223644,0.06824014328848696,0.08752078571749997,0.03149505873993948,0.05593325347985971,0.017872120637695714,0.08183732965137377,0.05149592651756943,0.052946986623310044,0.04788962227492489,0.08010670895650102,0.04559849402538229,0.03288517155798672,0.07807874711066803,0.06159380298238621,0.017002519551411757,0.0830944260268581,0.013771240181190084,0.07515284743401471,0.028253578670479677,0.010316708087423004,0.05661936887179872,0.08453823018636772,0.0187113393110725,0.09386472608456908,0.012726652429853023,0.04076798751868301,0.011434597082914586,0.037318251746281256,0.01122200137231431,0.06675192596577877,0.025828714112766167,0.008124027688727265,0.01638218904543136,0.03871231651172546,0.06760709276010363,0.07671565617840054,0.06045130428386964,0.03043836747385026,0.0511013358984728,0.03146494507574501,0.08462844186905139,0.09198344548253012,0.052748052369409215,0.06463349596151162,0.08942857891447573,0.026745339526674402,0.07092706272752256,0.0976540392618867,0.06167336979336125,0.08439274314006104,0.058473276645675774,0.07593483245805382,0.0797707173589372,0.056627358379013316,0.091966387315431,0.02620693729842156,0.037311965228720385,0.02711728263895851,0.039172068082144976,0.06462688821009763,0.04950581346078705,0.09669298035980187,0.06681248329050521,0.010266772037728925,0.08175500446708386,0.019247654655505403,0.07375515459527393,0.08356846986709499,-0.06213140366598964
322.0,0.00030483477840792533,258.0,2.0,453.0,3.0,9.0,8.582680926114529,73305.96196191864,0.060048532544193366,0.011290688693397711,0.09639254379760162,0.047823504495033496,0.0933548704928353,0.03985574799021403,0.04153177926159119,0.07078166418550436,0.08369396110900976,0.08931056073098192,0.05105141518934051,0.011539006570281113,0.08843406352805883,0.09267263009594903,0.03912778892317341,0.020755532713494278,0.036891491235910026,0.07706285688224751,0.010125155671267157,0.08685560145428986,0.03794809819536196,0.05005215141621253,0.063978626477382,0.04333354185133419,0.027008709866973887,0.0429047526243552,0.06467240340779039,0.034650209557452696,0.04260950048031139,0.08542978888493163,0.07474908989638099,0.02288198152876067,0.07746247261371228,0.011004061634651728,0.04770469711617888,0.01887940613059449,0.06769490285186062,0.048857013223408935,0.03371660422471316,0.09388177078960253,0.061493364681274254,0.0904248640433176,0.058561307944232734,0.02160566954493094,0.08751835444405687,0.05819324102577453,0.050895771613172026,0.03472706563138208,0.04755761285350968,0.08914024006199894,0.08056820625288297,0.04802796492368215,0.0701830559794874,0.03314450829998075,0.08692063413209325,0.020910142862556706,0.03437164393767476,0.08131358897262386,0.08676126924357092,0.014414374146711678,0.07294984245716557,0.0390655120418134,0.09380364454655934,0.03073528173703572,0.015406127233800516,0.04884782489110192,0.06655536154031476,0.03271283794840284,0.08897910879859208,0.09508963407555121,0.014773362480593993,0.08613092438496012,-0.07101861834526062
86.0,0.0009187803725681472,123.0,5.0,681.0,3.0,8.0,9.911296660926507,11617.647753032334,0.011145861336315288,0.028344804868110002,0.04059933045349714,0.03461734993388317,0.06612186017765123,0.0920554800341487,0.05964592574166201,0.062481704797604586,0.03702511310143453,0.06568443633414286,0.07844324160459898,0.06574103708789984,0.059462369574299095,0.015607718661088139,0.03946512647648892,0.059363681717680424,0.08058480697539944,0.08346886784332913,0.016189840683316102,0.08683660518352485,0.04917206924443245,0.015462698349839456,0.04554830092774944,0.07127143996585589,0.02530341571994413,0.05879181714671795,0.07930914727481644,0.09074972240015833,0.016422153846046752,0.07678478846055792,0.03939619480741358,0.07511990815719174,0.036683603578091,0.0784914453374356,0.04662242449819058,0.09132080716673213,0.07358965191680078,0.06473418413147644,0.030624434751626767,0.07431106743111884,0.0690657605468333,0.09106783359221893,0.06131266894241195,0.09381092458000057,0.05255980442614138,0.06437765852207589,0.018228156728879997,0.06389772649747733,0.08175529962913239,0.061734010729277894,0.0899126945034556,0.08834205814110041,0.02678195944865297,0.038976801808534245,0.05232585542439932,0.0707973236528936,0.040972647962310337,0.09740354214606486,0.012358455473474776,0.0221393866165324,0.009913169613387816,0.04359492951716807,0.012904002961115605,0.04604671950732532,0.05184051203827174,0.06957093927994831,0.058968416382016144,0.009700652909020956,0.08858094119650717,0.0906882300327076,0.02970240767132034,0.009292827561346398,-0.8374349277466535
331.0,0.0003158550183617561,177.0,2.0,1176.0,3.0,6.0,6.735225203021121,98590.54216606147,0.04742042717983529,0.01491779586337308,0.06550373880687259,0.020446899243221024,0.09941033646254777,0.03141574310450437,0.010645833378317267,0.08247602615222951,0.06217411720849896,0.05387853592852826,0.06994118535338167,0.08119695899022814,0.06039431349816046,0.04015365790229064,0.08595908810443115,0.01655037382920117,0.026763257887570113,0.016701056377891214,0.09393974172152819,0.060515026841549364,0.09286279081695048,0.053971269022361316,0.028969132563999387,0.02984238979543755,0.05467248777064578,0.08465167263757314,0.010660961503676914,0.021310387770066375,0.08679318981154471,0.019929138377095316,0.050847457167762934,0.027728650352887022,0.09709010159100434,0.04438631514936036,0.07350845885931975,0.04168549765217634,0.06050459215086475,0.00889416461100424,0.043165333906568376,0.046851845951306065,0.0449060542610567,0.03808605820552617,0.09485883083172267,0.011418192391054655,0.029941310991444023,0.0236617813790725,0.07748687421003761,0.030636971822061633,0.041610886582601175,0.08888467244052647,0.028404040499480067,0.026079602003840387,0.061498854621866536,0.03854439656335425,0.06773864437319478,0.07243055481726707,0.02090015555840117,0.04257651086313102,0.04019437542839203,0.03096954506210169,0.055720309727999205,0.04293195238488913,0.07379472808175441,0.0105939722280095,0.0743305483710471,0.023918104914411584,0.09717953611159544,0.012837623458760758,0.047135392409714705,0.09735773494189304,0.025165110505495174,0.08995486126996693,-0.0739365503191948
473.0,0.0004494780664217322,482.0,1.0,112.0,2.0,4.0,3.812206117422482,97937.35678476201,0.05686948335149441,0.07289589459379986,0.08250996566201421,0.08723356891586556,0.017677835124748176,0.06682847691971192,0.014631958196435906,0.08664933332690516,0.07352334785730952,0.05042557295595652,0.051738640517173175,0.04642069716171159,0.023800965420822044,0.03037518294101273,0.06068552099350011,0.018063922145580367,0.07581187953993684,0.07362935557675368,0.0937032322598739,0.07420547877460276,0.03179838166694933,0.014194911531452473,0.06203791653486859,0.03205462701867451,0.05856987469980488,0.04056249588216026,0.07272610881314653,0.08114677395856368,0.04173406855094332,0.06344163556356708,0.02327828870028708,0.013205740317880802,0.0928712516562793,0.07551958665104291,0.02103580642200793,0.09770778465538063,0.027790346381378065,0.038454274968222735,0.013316407379583105,0.053567243599760644,0.06476635428719424,0.032174877327571724,0.025520691053235667,0.09356908379692858,0.03379186457471613,0.018437031757666367,0.04010069020981883,0.06297327662422672,0.05303583163982294,0.018884457733125706,0.056909963293066815,0.06740813657624861,0.07592226219871634,0.05448157240440645,0.02695006809517973,0.07538265485896622,0.09507121489286816,0.03418671574009262,0.01941866322800512,0.07867231124631116,0.02950352970454233,0.059645261717131415,0.05907929911781494,0.03700041428474736,0.039844266980786164,0.09206890728070191,0.03922727621149044,0.06056870141496647,0.09353497192227034,0.036489331921661414,0.020008728809562774,0.0570787038782999,-0.06863152757287025
305.0,0.0002796444349724264,897.0,5.0,773.0,5.0,3.0,7.1934925170055015,9871.970359764246,0.02565405733081308,0.029742895722237338,0.023733051485771154,0.02230206463957916,0.06267271886227571,0.05387543426141806,0.06839562025897403,0.05091203213788452,0.05564362449663674,0.026176656189206823,0.01930220927025861,0.026563608575461868,0.03153202043984817,0.028473760190821706,0.09235473914186473,0.03207847203843854,0.04938291562154765,0.07325285953314939,0.09750722887479185,0.08942705182889202,0.06955791314690317,0.04713769642396212,0.03244005771948166,0.09132076999397015,0.04324768841365677,0.01858753893470503,0.0795010763768598,0.025216453152889166,0.05679609657604368,0.0373369542908228,0.027509664302442338,0.0419499826414281,0.01047699965442519,0.06551763647496572,0.06171009210302581,0.09311386815901057,0.031113076093442733,0.09080466966457504,0.014721601918261946,0.024261599429731783,0.0730481794224718,0.019195614443519256,0.059635142844038196,0.012505582505492257,0.010695068043148414,0.046980797321846395,0.05556631747878303,0.04293077754145189,0.029247275768399982,0.03521532709426558,0.08324947811847455,0.016045864676484393,0.09725368092993444,0.06216362148764799,0.030819388045732577,0.02038093576014852,0.0939603055160611,0.03607597111523882,0.03842430294205648,0.008928640135227206,0.07946085613592588,0.0932460219633637,0.07580820636475197,0.08201131743105669,0.010515988783582933,0.033103800692284455,0.019788573995095187,0.018103344164534324,0.014408338881270043,0.09674089637887964,0.06866179093432975,0.07290285443971536,-0.021727690100669862
419.0,0.0008949004970506788,224.0,3.0,105.0,3.0,6.0,3.138377397829862,10137.112754516233,0.07350097853503879,0.0933677962931847,0.012832888886219683,0.04308255887357957,0.054202703582311725,0.05014390342717736,0.05374576646113752,0.09532182105798173,0.07640174199464281,0.019748125885731646,0.018628402980859098,0.08355589804828004,0.0772701337788691,0.01770044181452026,0.02492710705168944,0.06958071827626228,0.014275270588096498,0.010476043468014123,0.02109309619538807,0.030805415587988588,0.08153496488838244,0.07379091468367799,0.06739307747992701,0.07122496661764527,0.07761303476231837,0.03830349734920246,0.06769576398015732,0.03653591771290702,0.09737640568499312,0.04117829402539653,0.07582771147530626,0.013131012136154916,0.0720096596850689,0.03711357318033298,0.07053089662799969,0.06224077394956865,0.09425992960380475,0.07348943685648918,0.01904330919735844,0.06316642592974513,0.08986451774684781,0.04403561580814053,0.08315382213063222,0.035645306765243065,0.05069431378191976,0.07230430833494114,0.06322384633892575,0.06895205982394606,0.009575992288535439,0.02820247143905989,0.030431558538194847,0.009668971778818678,0.09802153601547792,0.07623611143377929,0.020164327652685388,0.08010908765489741,0.08324681662842803,0.0659170171534975,0.09075530825043526,0.03612303296582443,0.008062969529101443,0.0843469741400662,0.011599572760913375,0.039316198197080154,0.010232991552570927,0.016249990428611978,0.039849860390274126,0.030069321324890996,0.01400169016610477,0.04121102910428418,0.052192735578544584,0.09641956915072569,-0.06522514671087265
