batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,pnorm_order,lagrange_smalltozero,lagrange_pnorm,lagrange_base,lagrange_important_sigs,value
456.0,0.0005611337953010081,598.0,3.0,1108.0,2.0,6.0,1.4389722118726462,97251.32813756664,0.735489320009405,0.10404013458714396,-0.1395304784178734
126.0,0.00014654875972099302,867.0,4.0,89.0,6.0,8.0,2.9488993663255294,81683.88443163809,0.44827531376753965,0.15021138593636651,-2.0
293.0,1.2739323826345409e-05,175.0,3.0,230.0,3.0,9.0,5.576774616041673,6619.262949524091,0.13711007983690454,0.2877055364601874,-0.1693338394165039
467.0,0.0008243632187553893,211.0,2.0,569.0,3.0,8.0,9.042480315198427,19979.27864247767,0.0933604782713633,0.22013132973822894,-0.06561208087950945
486.0,0.0003930260414590759,57.0,5.0,672.0,5.0,9.0,4.753981416988908,95834.44301051059,0.13601693981958776,0.9515220548679445,-2.0
420.0,0.0001729354849527935,281.0,3.0,1035.0,5.0,7.0,4.538884668210444,8341.550511122174,0.24385776775310214,0.46796863326790994,-0.10487213358283043
41.0,0.0007228446131758807,333.0,6.0,812.0,2.0,6.0,2.055519501200548,55176.984732663834,0.2655836279508149,0.567108609664164,-0.036117180995643136
193.0,0.0007163903521433256,932.0,4.0,767.0,4.0,8.0,4.157757409265288,79762.44719695437,0.28569740419749257,0.926451494654957,-2.0
160.0,0.0009171061275789839,669.0,2.0,201.0,2.0,5.0,8.639181177417385,21465.43060821982,0.9245175480841826,0.7621694815904841,-0.08229827284812927
356.0,0.0002177545022573831,868.0,2.0,514.0,4.0,7.0,4.302263285255631,44336.89227681074,0.16298848838255417,0.17394547532321697,-0.07197537086904049
108.0,0.0001790601527240872,338.0,1.0,1012.0,2.0,6.0,7.895332735872925,79423.7141091927,0.5070547036612759,0.8801704976781753,-0.06173017881810665
34.0,0.0006782291954806993,812.0,2.0,468.0,2.0,3.0,8.695264151321625,95433.5092592198,0.6623611000323046,0.3445259943565794,-0.021419151127338408
466.0,0.0008586123960924258,247.0,3.0,210.0,1.0,5.0,0.5932587210369069,27329.823345377685,0.26935172170977495,0.11984695550131702,-0.0993273515254259
385.0,0.00010481169562043182,880.0,6.0,1020.0,3.0,8.0,9.613824029153026,49632.186720150225,0.1703580535729455,0.6620418618283482,-0.10922357514500618
278.0,0.00012654558138116794,77.0,4.0,551.0,4.0,6.0,0.11508627941964485,33149.34059058103,0.9457768372591799,0.9952434696804945,-0.25425869673490525
83.0,0.0002540858017743728,1137.0,5.0,306.0,4.0,8.0,1.7110745738938538,61483.19517843441,0.05377046302290625,0.6702469871896551,-0.035839814133942126
410.0,0.00030025001090455645,100.0,6.0,1055.0,5.0,8.0,0.8338281618953604,42279.22142497977,0.26013639893764023,0.8364250183443068,-0.1529259167611599
50.0,0.0006738209629721626,178.0,5.0,537.0,2.0,4.0,7.248576637240701,2983.301453502763,0.012789262826452378,0.5387232529159937,-1.0046743035316468
356.0,0.00042175821585980605,463.0,3.0,845.0,1.0,4.0,1.3668320838158312,93051.70070232725,0.08911462827221789,0.8444259501839322,-0.06535091623663902
223.0,0.0009061768505831537,1088.0,3.0,1155.0,3.0,7.0,2.19465651280897,52175.74903951206,0.24711627447762016,0.8893979196397414,-0.0765133623033762
201.0,0.000863065912881209,505.0,1.0,260.0,1.0,6.0,0.7522621316524531,35396.96377186757,0.07323315662084338,0.5126614729760052,-0.0528287161141634
214.0,0.00030183204741442734,583.0,3.0,707.0,4.0,7.0,3.7856589149656035,74464.81121077084,0.13674143380909445,0.6859267602793682,-0.06369242295622826
426.0,5.71996310511633e-05,237.0,4.0,344.0,5.0,8.0,9.649465379780423,53870.520826795226,0.5143858532458586,0.05710451703597807,-0.17108580619096755
226.0,7.60244278504771e-05,485.0,4.0,101.0,2.0,4.0,6.552292578720965,41642.751609513005,0.24003592772277685,0.9175215042533247,-0.11317793875932694
363.0,0.0008451738638709821,112.0,4.0,964.0,6.0,3.0,5.207087069962514,91011.29878317905,0.3675292351235015,0.6150055046347354,-0.06575750652700663
418.0,0.0006460003973920572,728.0,5.0,568.0,5.0,8.0,3.8627268048745913,85106.18714784371,0.6380640221679476,0.9465136986903425,-2.0
332.0,0.0007805492094719834,799.0,5.0,419.0,6.0,7.0,6.32043144750336,10124.749640653317,0.08788463138549125,0.200952600308028,-0.04825920071452856
64.0,0.000581262184254828,614.0,2.0,459.0,4.0,7.0,6.839631771696578,31426.638940370078,0.31371440764476655,0.5520349859027138,-0.04365455973893404
81.0,0.0005982996397249104,789.0,4.0,428.0,4.0,9.0,8.806850328601834,74821.465164628,0.3729521947027905,0.3545864033904122,-0.05621802862733603
288.0,0.0006163431182358053,414.0,2.0,879.0,2.0,7.0,8.021964067421113,61141.338670935125,0.12405676295258754,0.7914889320873278,-0.06612126305699348
412.0,8.234524099830948e-05,1192.0,3.0,399.0,5.0,7.0,6.057313349067654,57951.54375807172,0.2929949946043632,0.39812939123679353,-0.10713498629629611
344.0,0.00043029411108980083,742.0,5.0,982.0,3.0,7.0,8.955300926596452,33638.201942662694,0.9882842104379777,0.7404019483091474,-0.1421186000108719
298.0,0.00014292537679529775,1095.0,4.0,443.0,1.0,6.0,1.5184248487886693,44560.19221193456,0.03171976674493134,0.28258149541483496,-0.04388121720403433
88.0,0.0007954614549207311,863.0,5.0,1103.0,6.0,6.0,9.343576887618568,44389.90717259718,0.3362377985171953,0.5703470288934828,-0.053304072842001914
362.0,0.0009116869195223548,1088.0,4.0,444.0,6.0,4.0,3.92851584905982,58620.474285754004,0.476985524780417,0.5229061414732978,-0.09399383105337619
259.0,0.0009869919104345652,624.0,3.0,270.0,6.0,6.0,2.9149643371178313,36684.716325088455,0.8506201345098395,0.7453998245463793,-0.11978123337030411
402.0,0.00034205197593642093,297.0,3.0,122.0,4.0,4.0,7.0965453362119995,7021.696519676144,0.4532255226141262,0.5343928426076201,-0.09886009097099305
117.0,0.0008902473942630799,645.0,4.0,890.0,2.0,4.0,0.5777003345495155,63797.85496193354,0.26363181031581767,0.50322505458521,-0.047328421659767625
249.0,0.000572682709685384,373.0,2.0,437.0,5.0,8.0,5.741813979058612,51851.06684944595,0.9818391177424467,0.33311595352725,-2.0
90.0,0.0005902239748523167,248.0,3.0,356.0,3.0,7.0,8.992611944264256,86173.45241633261,0.12365213801603918,0.456226882634799,-0.038839243724942206
209.0,0.0004461180344839967,1018.0,3.0,501.0,4.0,5.0,0.4076584857855611,87154.76156494142,0.15714519195949928,0.4908731148627298,-0.052546578273177144
290.0,0.0008141912242169221,1079.0,4.0,668.0,1.0,8.0,4.099713489398782,99963.08709623433,0.08847845916230682,0.40509935101722333,-2.0
176.0,0.0003981731842885761,1083.0,3.0,997.0,5.0,9.0,9.384543129790398,82726.30818600883,0.3832287276607512,0.4146497912740223,-0.07506430558860303
135.0,0.0008750063180809357,1114.0,3.0,576.0,3.0,3.0,5.015655680499442,46400.61751547807,0.5791070763541473,0.5853576920127678,-0.04808726944029331
253.0,0.00012051937895522544,127.0,5.0,574.0,3.0,3.0,3.3102098390914683,16185.755927061178,0.950027654574777,0.04484403655100282,-0.10526795834302902
233.0,4.618795494466661e-05,401.0,3.0,868.0,4.0,6.0,8.71592580241808,88867.76333540019,0.934012524288988,0.13605629394128654,-0.16181793436408043
197.0,0.0008044171425794329,1187.0,6.0,890.0,3.0,9.0,6.853277222010859,3245.0463494237174,0.3463050000256506,0.01591361129638922,-0.04764941036701202
278.0,0.000752527609267573,434.0,2.0,1111.0,4.0,8.0,5.6968641883427535,83127.70737311056,0.39296980089757255,0.6876874475533382,-2.0
158.0,0.0001277767408964656,1179.0,4.0,1115.0,2.0,3.0,5.485824976269895,50391.35374902733,0.6408185566531546,0.12853928523455246,-0.04578426834195852
249.0,0.000783888794146801,74.0,6.0,978.0,1.0,3.0,7.436723784301921,38990.61010391804,0.7055322286398135,0.7545123561884367,-0.09141948558390141
20.0,0.0003678840620320508,1200.0,5.0,69.0,3.0,8.0,0.36085738216075014,32771.74307834421,0.01,1.0,-1.4870183527469636
500.0,0.00013732532103111718,461.0,3.0,358.0,6.0,4.0,6.217038574480196,98035.94212151799,0.7706243129139396,0.7122219799291064,-0.17154081910848618
303.0,0.0003645536491970217,1157.0,3.0,298.0,3.0,6.0,4.047535686905738,68061.48257212386,0.01,0.9003249157473519,-1.0316950678825378
500.0,0.0009931383836033108,78.0,3.0,893.0,2.0,8.0,1.3860064298905035,82798.51920898203,0.11900688669242347,0.9865461085257516,-2.0
500.0,0.0003637911996464927,773.0,2.0,81.0,2.0,4.0,4.412263721165698,20536.25304607723,0.8126611620723682,0.05228806489105809,-0.13589492738246917
20.0,0.0005416999956478988,109.0,4.0,1185.0,2.0,6.0,2.145175145901368,60024.60819537983,0.7323304170692546,0.3162066056699136,-0.033217838034033775
358.0,9.231970769519239e-05,255.0,6.0,705.0,1.0,7.0,9.429820286887868,31826.3007989137,0.3656586936012973,0.23609030114467108,-0.1290049284696579
500.0,0.001,50.0,1.0,1191.0,4.0,8.0,10.0,7618.24644503298,0.20859940695642926,0.01,-0.09063978046178818
75.0,0.0002708486074589615,50.0,2.0,733.0,2.0,8.0,4.17430971578237,54346.34060950781,0.20502221522348027,0.010071547629472925,-0.03595547750592232
288.0,0.0005292262048078649,281.0,1.0,503.0,6.0,8.0,9.336306945086946,16846.116440453763,0.3282419509721625,0.01,-0.057299407199025154
198.0,0.0003484415639547996,740.0,4.0,1119.0,2.0,4.0,4.1952542189973485,80123.14078346819,0.4971220152258918,0.15097102828686415,-0.06651509366929531
20.0,0.00044564955235029224,1061.0,4.0,950.0,1.0,9.0,4.08007480267966,80296.49559420247,0.6447880375932395,0.7528118411600603,-2.0
52.0,0.00044822921767215495,887.0,3.0,446.0,5.0,9.0,10.0,70482.52648239087,0.25984537255134893,0.3394673246459765,-0.035641112737357615
20.0,0.00014017894601144076,756.0,5.0,580.0,1.0,6.0,0.8677674593079305,45900.02155586233,0.43226968804950405,0.5432154649420221,-0.02545750215649605
327.0,0.0008254036555151586,743.0,3.0,183.0,6.0,6.0,6.401621992373882,23929.82981033429,0.47275740450360926,0.2752431976707589,-0.09368658028542995
277.0,0.0009113549258814525,872.0,5.0,771.0,4.0,8.0,2.8295874090982416,54935.39203350625,0.043566436637319725,0.2807919782834971,-2.0
20.0,0.0002817339970528721,439.0,1.0,338.0,3.0,8.0,3.131802601538071,58173.47831903892,0.8758865462126951,0.2721020069179773,-2.0
