batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,value
637.0,0.0023638109194251593,312.0,9.0,1037.0,2.0,-0.0014300080598331987
212.0,0.004879584635759363,1202.0,6.0,686.0,4.0,-0.01215133935213089
409.0,0.007369634529414976,1227.0,2.0,720.0,7.0,-0.008727794592268766
325.0,0.0032902350539243306,517.0,8.0,1392.0,4.0,-0.0043597619351930916
711.0,0.0006170961808481095,188.0,10.0,879.0,9.0,-0.001502793722320348
465.0,0.00022050149277992972,681.0,9.0,992.0,5.0,-0.0016811859526205807
344.0,0.0006850140433838251,99.0,5.0,1479.0,3.0,-0.002510931093711406
999.0,0.006003934069631247,1469.0,8.0,248.0,2.0,-12672.833984375
118.0,0.002080841494242749,1089.0,5.0,205.0,4.0,-0.004640803588554263
206.0,0.0026209959574429566,539.0,2.0,1248.0,6.0,-0.003989411243237555
639.0,0.0036395128705316413,738.0,9.0,1040.0,2.0,-0.003702245720196515
221.0,0.009822467205751551,979.0,7.0,368.0,1.0,-7210.8310546875
722.0,0.0015685532539841422,1311.0,7.0,794.0,10.0,-0.0014586654340382665
934.0,0.005430298849912052,1109.0,9.0,700.0,3.0,-1346.507568359375
726.0,0.007951484857292052,47.0,2.0,423.0,5.0,-0.002024119672132656
618.0,0.009258930520280735,608.0,10.0,91.0,5.0,-7860.912109375
118.0,0.0013805687857286753,1439.0,9.0,582.0,7.0,-0.004701541499234736
867.0,0.006619811449383283,1199.0,2.0,829.0,4.0,-0.002527362423716113
534.0,0.0027216689232554088,1066.0,3.0,660.0,7.0,-0.001894271335331723
898.0,0.00241068500515269,489.0,2.0,999.0,5.0,-0.0011181987880263477
63.0,2.6480372986105577e-06,216.0,2.0,416.0,8.0,-0.01726019037887454
994.0,0.0010083216692161705,1146.0,2.0,355.0,6.0,-0.0008849583595292642
564.0,0.0003574038755530937,267.0,10.0,802.0,6.0,-0.0016205898334737867
139.0,0.0057835919450594814,130.0,10.0,1315.0,5.0,-2.749434427022934
826.0,0.002073077907587459,357.0,9.0,1492.0,6.0,-0.0035152274300344287
604.0,0.008729909024845784,881.0,4.0,1369.0,10.0,-3450541.75
572.0,0.0009718793868492171,424.0,9.0,606.0,6.0,-0.001463681496679783
749.0,0.0049180848903887815,486.0,9.0,445.0,8.0,-0.0027721034362912177
390.0,0.008185848951038462,296.0,3.0,308.0,7.0,-0.0035872342181392015
333.0,0.00718025134761267,71.0,4.0,268.0,3.0,-0.0028724381374195217
331.0,0.008218449207163284,421.0,4.0,668.0,3.0,-0.004997277781367302
859.0,0.005974157657972905,1099.0,6.0,816.0,2.0,-0.004166684071533382
923.0,0.006096129048992916,44.0,2.0,1056.0,9.0,-1.8371922373771667
420.0,0.0003518621808922296,254.0,5.0,164.0,8.0,-0.0024543894128873944
907.0,0.003647560449090464,858.0,8.0,531.0,2.0,-0.0030308312794659286
977.0,0.006601677531403795,1481.0,8.0,442.0,3.0,-95663.9140625
240.0,0.0067396936114668075,441.0,4.0,1256.0,2.0,-0.006037421030923724
725.0,0.00484478266706672,1203.0,5.0,337.0,8.0,-0.0032335655158385636
336.0,0.00782078603965353,1464.0,8.0,208.0,6.0,-488995.78125
742.0,0.0030254640567562077,40.0,2.0,992.0,6.0,-0.002056520825717598
564.0,0.006248513111297828,991.0,7.0,1361.0,10.0,-114643.4453125
956.0,0.005940024524792691,1426.0,10.0,766.0,2.0,-69011.53125
477.0,0.006558366483664019,263.0,6.0,97.0,4.0,-0.0022490598878357557
65.0,0.0016204109512516131,142.0,1.0,609.0,9.0,-0.007306531555950641
164.0,0.0072827698374910614,1173.0,2.0,479.0,1.0,-0.00794291083700955
994.0,0.0048232085767969,507.0,10.0,640.0,1.0,-0.0025651464296970517
983.0,0.0012961778062139143,1477.0,9.0,947.0,5.0,-0.0013369927962776273
113.0,0.006597811920161805,181.0,9.0,1279.0,4.0,-0.0164140890724957
304.0,0.0012592336827301372,773.0,5.0,1201.0,5.0,-0.0020464477874338628
208.0,0.00798200024458241,596.0,6.0,929.0,9.0,-21969.162109375
472.0,0.008749529328729003,609.0,5.0,98.0,1.0,-0.004947152170352638
902.0,0.006423125581148895,443.0,7.0,76.0,10.0,-0.0018969371402636171
797.0,0.007491326238598922,754.0,6.0,864.0,9.0,-1265.6109619140625
140.0,0.0005007406384482945,121.0,3.0,819.0,2.0,-0.0035038833087310197
391.0,0.002835085640948592,1326.0,9.0,1148.0,1.0,-0.013825804088264703
936.0,0.006687875792407422,625.0,2.0,139.0,7.0,-0.0011696362670045345
273.0,0.007219533557288069,1259.0,2.0,291.0,7.0,-0.007586928145028651
588.0,0.008431915011578766,1373.0,10.0,1123.0,1.0,-2482055.25
755.0,0.006952727429200876,864.0,9.0,661.0,9.0,-1983.6513671875
198.0,0.006449150538416017,1487.0,8.0,237.0,9.0,-35907.08984375
459.0,0.00548331233498585,845.0,3.0,209.0,4.0,-0.002125567049952224
323.0,0.003929092573857231,1107.0,2.0,337.0,8.0,-0.002451148391701281
251.0,0.004084222559016462,450.0,3.0,668.0,6.0,-0.0032611994142644108
813.0,0.001758366205863048,209.0,9.0,1362.0,8.0,-0.024529269621707497
962.0,0.0059718231401642815,494.0,3.0,87.0,5.0,-0.0012054186913883313
268.0,0.0076982821988963515,191.0,9.0,1092.0,9.0,-17663.755859375
809.0,0.0014826548637276512,188.0,2.0,883.0,7.0,-0.0016405375092290342
742.0,0.002462433004041116,407.0,7.0,1191.0,7.0,-0.0023598106554709375
678.0,0.0005341913212607236,906.0,3.0,791.0,3.0,-0.0010875623644096776
657.0,0.0026692110735038743,1433.0,2.0,397.0,1.0,-0.0011116111662704499
169.0,0.007175209481053479,518.0,4.0,37.0,6.0,-0.006646932945586741
80.0,0.006104416137538957,448.0,6.0,966.0,4.0,-0.01067874900996685
502.0,0.004348139353902704,1309.0,8.0,1384.0,9.0,-1022.2470092773438
527.0,0.0011341437933042,916.0,2.0,989.0,10.0,-0.0014526681939605623
964.0,0.006614809789877328,1047.0,6.0,558.0,2.0,-0.004421352189965546
593.0,0.008867422650712845,725.0,5.0,1046.0,5.0,-0.044251919500529764
144.0,0.004922951965690478,732.0,9.0,169.0,10.0,-0.015075090108439326
638.0,0.0043848790789471175,1469.0,7.0,516.0,1.0,-0.028357212860137225
883.0,0.0027574098139319376,35.0,9.0,1370.0,2.0,-0.0021145020402036606
856.0,0.007834055804793589,1490.0,7.0,1492.0,4.0,-145759.390625
63.0,0.0019841047187850193,741.0,2.0,119.0,1.0,-0.005495896693319082
847.0,0.0036169141999596414,1284.0,9.0,228.0,9.0,-0.014115151492878794
651.0,0.009338947464434493,676.0,10.0,1222.0,2.0,-843.5274047851562
742.0,0.0017485879726563715,535.0,6.0,944.0,9.0,-0.001407852213596925
670.0,0.0012122414289586192,1325.0,1.0,1434.0,4.0,-0.00104414721543435
443.0,0.009927320028445527,835.0,4.0,1414.0,5.0,-10460.1357421875
134.0,0.007578434656525443,24.0,6.0,1193.0,4.0,-0.025958781335502862
334.0,0.0017624501638701,104.0,4.0,1308.0,4.0,-0.002323277392424643
618.0,0.0013083263771886614,812.0,2.0,985.0,5.0,-0.0011644594988320022
460.0,0.007813674529403427,1044.0,9.0,1242.0,6.0,-75969.9921875
121.0,0.007978885262542099,546.0,9.0,363.0,7.0,-11.889870643615723
958.0,0.008757355863828248,1274.0,2.0,142.0,4.0,-0.0020443156722467393
84.0,0.001108953178362597,915.0,10.0,124.0,9.0,-0.008003145093098282
549.0,0.008491936210604295,1190.0,9.0,644.0,7.0,-121794.28125
734.0,0.006255236150027386,1058.0,8.0,350.0,3.0,-189.4496307373047
547.0,0.001068428127275104,54.0,6.0,1421.0,10.0,-0.0029482957674190403
931.0,0.005414052197843779,1439.0,3.0,1363.0,1.0,-0.003097399051766843
688.0,0.006596610624838146,666.0,5.0,383.0,5.0,-0.0022414053266402332
371.0,0.0009520849352861772,66.0,4.0,740.0,9.0,-0.002826053039170802
779.0,0.0007339694735514387,1149.0,2.0,466.0,3.0,-0.0010277788765961303
828.0,0.0015619163453772609,1007.0,5.0,315.0,6.0,-0.001086825716192834
728.0,0.003542696230274178,208.0,1.0,233.0,6.0,-0.0012617753318045289
860.0,0.007628498783053713,1205.0,6.0,236.0,2.0,-0.18702506363391877
830.0,0.007798408280371455,870.0,8.0,191.0,8.0,-3237.063720703125
422.0,0.002860498193393754,100.0,4.0,1429.0,6.0,-0.00356280459323898
758.0,0.008691841773551116,596.0,5.0,372.0,5.0,-0.0022992379299830645
145.0,0.009756222009385447,1362.0,9.0,793.0,2.0,-144158.609375
812.0,0.0017477984978901417,1376.0,1.0,33.0,8.0,-0.0014181686600204556
826.0,0.007700236656347213,406.0,6.0,1159.0,4.0,-0.0062568752188235524
606.0,0.0012798663869322514,130.0,6.0,695.0,10.0,-0.0023160145024303347
889.0,0.005481625202988059,580.0,5.0,575.0,5.0,-0.0016135078447405248
489.0,0.003946429369113504,1465.0,7.0,1150.0,8.0,-374.5122560773577
758.0,0.004866122621552761,1473.0,7.0,466.0,9.0,-0.02804777031764388
394.0,0.007057556109112925,643.0,8.0,659.0,9.0,-333.19032287597656
620.0,0.005946899705293942,315.0,6.0,934.0,3.0,-0.0023652882291935384
395.0,0.0070761335799546955,1009.0,4.0,1256.0,4.0,-0.010023020971566439
317.0,0.002569944379189605,54.0,8.0,1270.0,1.0,-0.003975767192896456
403.0,0.0013324723932832848,907.0,8.0,1317.0,9.0,-0.003362151412293315
704.0,0.008802440940153087,782.0,3.0,667.0,3.0,-0.004064825251698494
158.0,0.00981085027899662,1210.0,5.0,153.0,7.0,-0.6833784544467926
328.0,0.005726651006047511,595.0,8.0,740.0,4.0,-0.007085931040346622
222.0,0.0046613797402559574,1274.0,5.0,152.0,1.0,-0.011860868334770203
156.0,0.0009049696122803443,1488.0,1.0,1297.0,3.0,-0.003199059518519789
413.0,0.006475506002166174,1213.0,3.0,782.0,6.0,-0.008539815722033382
398.0,0.0037407623467454383,211.0,3.0,1187.0,4.0,-0.0032938269386067988
333.0,0.005813742352945828,553.0,4.0,193.0,5.0,-0.002629069683607668
96.0,0.0059602852145044195,275.0,7.0,920.0,1.0,-0.008260649521835148
555.0,0.009971359240202635,311.0,5.0,507.0,6.0,-0.0034186752373352646
396.0,0.0015777374623011198,88.0,8.0,919.0,4.0,-0.0026301124738529326
111.0,0.003654625002805923,811.0,5.0,1318.0,2.0,-0.005150186908431351
259.0,0.0023158234151935677,30.0,9.0,1012.0,6.0,-0.007453764104284346
763.0,0.007870358917339214,288.0,1.0,491.0,9.0,-0.0017458203970454633
743.0,0.00048731033231498425,241.0,2.0,385.0,4.0,-0.001144090136513114
427.0,0.00884456241927739,1383.0,8.0,708.0,10.0,-1810501.25
165.0,0.009559794545797392,41.0,6.0,1198.0,2.0,-0.016041300101205705
805.0,0.003137756099479717,1004.0,8.0,670.0,7.0,-0.0024342174478806555
538.0,0.007101947744342362,58.0,3.0,385.0,2.0,-0.0019482497102580965
943.0,0.007262442245321786,342.0,5.0,1037.0,4.0,-0.005354534722864628
257.0,0.008566905397178148,408.0,2.0,214.0,9.0,-0.005967681128531695
280.0,0.006082716568365417,1177.0,5.0,388.0,7.0,-0.010931551279500127
656.0,0.004739742002357973,565.0,4.0,1492.0,8.0,-1.733849164247513
542.0,0.009722323066132682,887.0,2.0,953.0,8.0,-14055.4287109375
138.0,0.005825091870143881,1176.0,7.0,825.0,8.0,-2665.21435546875
90.0,0.0008229485031848024,809.0,5.0,391.0,10.0,-0.005843983306549489
890.0,0.002462445641901342,647.0,4.0,1161.0,5.0,-0.0014051580533850938
450.0,0.009127699611850604,898.0,5.0,1397.0,5.0,-0.5639760115742684
938.0,0.0005470513717004328,232.0,2.0,355.0,1.0,-0.0009854700957657768
686.0,0.008095982974843086,83.0,3.0,1148.0,1.0,-0.0017684402596205473
664.0,0.009601767998377834,847.0,3.0,251.0,8.0,-0.0023995137761812658
113.0,0.003566332466751009,1350.0,3.0,423.0,5.0,-0.004784874552860856
338.0,0.009369515754885272,1468.0,9.0,1486.0,3.0,-1014108.1875
528.0,0.001781226199875917,1448.0,4.0,28.0,9.0,-0.0019183769926894457
607.0,0.0014334803253979497,1079.0,9.0,845.0,9.0,-0.0014777769101783633
738.0,0.005586018842739827,331.0,8.0,994.0,2.0,-0.0016626459418330342
434.0,0.0019025601103910754,326.0,7.0,198.0,9.0,-0.0021506767463870344
895.0,0.0021601652015594656,1062.0,7.0,973.0,2.0,-0.0015736947837285697
275.0,0.008035073217909423,551.0,5.0,1475.0,7.0,-21441.916015625
637.0,0.007333466429767052,372.0,3.0,906.0,6.0,-0.010095480317249893
948.0,0.0015177114013443448,440.0,5.0,147.0,6.0,-0.0011539145407732576
120.0,0.005141388465099081,433.0,8.0,1054.0,4.0,-0.018254261333495378
146.0,0.0026431592151087567,41.0,4.0,995.0,2.0,-0.0067646030336618425
943.0,0.006710250579268275,439.0,5.0,1191.0,4.0,-0.008176504191942513
469.0,0.008098165652463196,734.0,5.0,1310.0,9.0,-789906.875
661.0,0.007920760599621967,1363.0,5.0,1276.0,6.0,-11131.3486328125
826.0,0.005170480201713874,1061.0,6.0,1224.0,9.0,-7631.048828125
527.0,0.0012203664975267926,1049.0,5.0,822.0,5.0,-0.0013305255747400224
955.0,0.0023956833106361475,832.0,4.0,455.0,4.0,-0.0009343136462848634
974.0,0.0016168242493127048,87.0,6.0,1480.0,10.0,-0.0017176902224309743
535.0,0.003603605165116884,791.0,5.0,971.0,2.0,-0.001522234360454604
575.0,0.0019679256816846763,788.0,8.0,60.0,2.0,-0.0022215305152349174
675.0,0.009037676228219944,704.0,3.0,816.0,5.0,-0.03047067071311176
180.0,0.006997510398409877,165.0,4.0,1250.0,3.0,-0.012656955514103174
105.0,0.0064045831728932025,918.0,8.0,980.0,4.0,-2035.083740234375
703.0,0.005734350727333556,529.0,8.0,556.0,8.0,-2.2140269577503204
104.0,0.002040868918959662,929.0,6.0,611.0,7.0,-0.005823367456905544
308.0,0.005735211051766791,1004.0,2.0,824.0,2.0,-0.002141528772190213
550.0,0.004996178059409509,1001.0,4.0,1412.0,9.0,-8793.810546875
878.0,0.0077206788074929275,61.0,1.0,206.0,6.0,-0.0014564068301115185
382.0,0.003760575821893021,1026.0,7.0,1390.0,4.0,-0.00605559769552201
191.0,0.008125707563519708,663.0,8.0,417.0,8.0,-0.02649399483576417
538.0,0.006355414095412388,1351.0,5.0,752.0,3.0,-0.047820712886750695
742.0,0.0014810598192078128,357.0,6.0,1104.0,10.0,-0.0014086281810887157
67.0,0.0002431950362517807,941.0,3.0,293.0,8.0,-0.005002531688660383
263.0,0.009164815247757835,217.0,3.0,381.0,4.0,-0.003442166952881962
743.0,0.005151315700874551,372.0,9.0,826.0,5.0,-0.001990828887792304
415.0,0.003976480091223895,229.0,6.0,455.0,4.0,-0.0019984829798340795
734.0,0.0054132620866647295,859.0,6.0,1395.0,3.0,-0.0037374840769916775
768.0,0.00856083428881603,201.0,2.0,1039.0,3.0,-0.0026711851102299987
119.0,0.004849530866997871,124.0,4.0,1172.0,5.0,-0.014406957430765033
615.0,0.007407550863931866,380.0,7.0,1450.0,2.0,-0.00425061033340171
127.0,0.00736129192923371,763.0,6.0,1384.0,4.0,-0.06214475397020578
695.0,0.0016086426329909088,172.0,7.0,999.0,3.0,-0.0014099449571222068
723.0,0.007911794548954885,1292.0,2.0,1328.0,7.0,-14035.7939453125
518.0,0.0020934235196421484,232.0,8.0,743.0,3.0,-0.002876077841501683
543.0,0.008266906904900473,1064.0,6.0,825.0,1.0,-0.04404614746570587
641.0,0.006753410706822571,1023.0,7.0,1128.0,4.0,-1.9014212560653687
350.0,0.0023391177579139117,166.0,10.0,475.0,5.0,-0.0025826764293015005
277.0,0.009909496309884734,681.0,9.0,527.0,7.0,-1023.150390625
661.0,0.0055422480595346355,1165.0,6.0,1293.0,8.0,-11386.6484375
