batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,value
637.0,0.0023638109194251,312.0,9.0,1037.0,2.0,-0.0014300080598331
212.0,0.0048795846357593,1202.0,6.0,686.0,4.0,-0.0121513393521308
409.0,0.0073696345294149,1227.0,2.0,720.0,7.0,-0.0087277945922687
325.0,0.0032902350539243,517.0,8.0,1392.0,4.0,-0.004359761935193
711.0,0.0006170961808481,188.0,10.0,879.0,9.0,-0.0015027937223203
465.0,0.0002205014927799,681.0,9.0,992.0,5.0,-0.0016811859526205
344.0,0.0006850140433838,99.0,5.0,1479.0,3.0,-0.0025109310937114
999.0,0.0060039340696312,1469.0,8.0,248.0,2.0,-12672.833984375
118.0,0.0020808414942427,1089.0,5.0,205.0,4.0,-0.0046408035885542
206.0,0.0026209959574429,539.0,2.0,1248.0,6.0,-0.0039894112432375
639.0,0.0036395128705316,738.0,9.0,1040.0,2.0,-0.0037022457201965
221.0,0.0098224672057515,979.0,7.0,368.0,1.0,-7210.8310546875
722.0,0.0015685532539841,1311.0,7.0,794.0,10.0,-0.0014586654340382
934.0,0.005430298849912,1109.0,9.0,700.0,3.0,-1346.507568359375
726.0,0.007951484857292,47.0,2.0,423.0,5.0,-0.0020241196721326
618.0,0.0092589305202807,608.0,10.0,91.0,5.0,-7860.912109375
118.0,0.0013805687857286,1439.0,9.0,582.0,7.0,-0.0047015414992347
867.0,0.0066198114493832,1199.0,2.0,829.0,4.0,-0.0025273624237161
534.0,0.0027216689232554,1066.0,3.0,660.0,7.0,-0.0018942713353317
898.0,0.0024106850051526,489.0,2.0,999.0,5.0,-0.0011181987880263
63.0,2.6480372986105577e-06,216.0,2.0,416.0,8.0,-0.0172601903788745
994.0,0.0010083216692161,1146.0,2.0,355.0,6.0,-0.0008849583595292
564.0,0.000357403875553,267.0,10.0,802.0,6.0,-0.0016205898334737
139.0,0.0057835919450594,130.0,10.0,1315.0,5.0,-2.749434427022934
826.0,0.0020730779075874,357.0,9.0,1492.0,6.0,-0.0035152274300344
604.0,0.0087299090248457,881.0,4.0,1369.0,10.0,-3450541.75
572.0,0.0009718793868492,424.0,9.0,606.0,6.0,-0.0014636814966797
749.0,0.0049180848903887,486.0,9.0,445.0,8.0,-0.0027721034362912
390.0,0.0081858489510384,296.0,3.0,308.0,7.0,-0.0035872342181392
333.0,0.0071802513476126,71.0,4.0,268.0,3.0,-0.0028724381374195
331.0,0.0082184492071632,421.0,4.0,668.0,3.0,-0.0049972777813673
