batch_size,lr,num_units,num_hidden_layers,value
117.0,0.0001586868429655,1338.0,4.0,-1.0700879549980165
550.0,0.0012563856166117,1055.0,10.0,-8.05114509748376
79.0,0.0009988125472347,1117.0,4.0,-0.8137005132436752
671.0,0.0008841196576415,1098.0,8.0,-7.940168082714081
576.0,0.0015458606597769,770.0,1.0,-0.621741863489151
477.0,0.0008092879217755,145.0,9.0,-6.808250226974487
154.0,0.0018051291490068,577.0,4.0,-1.1296520709991456
64.0,0.0026878802279208,375.0,3.0,-1.3376139223575592
993.0,0.0018625512932948,279.0,8.0,-6.638993844985962
553.0,0.0031105174797878,44.0,9.0,-7.326249141693115
668.0,0.0007626071837017,396.0,3.0,-2.13243082523346
62.0,0.00089097247173,687.0,7.0,-7.485475957393646
754.0,0.0026010414744839,1485.0,4.0,-1.5088836455345154
854.0,0.004256253367133,108.0,9.0,-7.368971185684204
447.0,0.0014721169031479,189.0,4.0,-3.583023767471313
467.0,0.002501771088637,1308.0,9.0,-8.057273864746094
681.0,0.0032316712028597,408.0,4.0,-1.9049913477897644
362.0,0.0046880263102674,1332.0,3.0,-7.9135236740112305
311.0,0.0032512342244018,683.0,6.0,-8.009474515914917
916.0,0.0046416856311406,1165.0,7.0,-8.149456024169922
187.0,0.0010464488731309,927.0,1.0,-0.5328158777952194
291.0,0.0026179475246025,434.0,1.0,-0.608757044672966
85.0,0.0023168584509668,668.0,6.0,-4.228482723236084
386.0,0.000694193144936,155.0,8.0,-6.783612112998963
501.0,0.0014963793992209,1457.0,3.0,-0.7402183014154434
184.0,0.0013594322934334,1133.0,5.0,-8.045920093854269
709.0,0.0029857957663505,261.0,10.0,-7.861520732321391
457.0,0.0001532238469246,1090.0,6.0,-3.684522047042847
236.0,0.0033022900920135,553.0,5.0,-1.300852829217911
663.0,0.0049351427024085,1487.0,9.0,-8.437151908874512
922.0,0.0004750901710018,606.0,8.0,-6.475798716545105
98.0,0.0038411911074355,375.0,9.0,-8.053640097902532
984.0,0.0001709692377977,1464.0,10.0,-6.7169449377059935
160.0,5.559392040916254e-05,258.0,3.0,-5.291523771286011
270.0,0.0009105993879914,23.0,8.0,-7.651714234352112
422.0,0.0021235641924453,1157.0,8.0,-8.055550575256348
216.0,0.0029663675789906,889.0,3.0,-0.7771909308433532
628.0,0.0017391662933847,1132.0,8.0,-8.035682916641235
863.0,0.0029314569830429,1461.0,5.0,-8.02267837524414
130.0,0.0030059622580501,738.0,7.0,-8.057670729500908
709.0,0.0043357389267524,1146.0,4.0,-8.04824357032776
803.0,0.0008362225196253,611.0,1.0,-1.3439362299442292
447.0,0.0014718067925936,970.0,2.0,-0.6196420264244079
442.0,0.0049023127956536,1182.0,4.0,-8.0094104546767
936.0,0.0003029524172381,1395.0,5.0,-2.7509047031402587
944.0,0.0023915373019818,550.0,2.0,-0.858235582113266
708.0,0.0031345013207244,200.0,2.0,-1.4638928329944612
337.0,0.0036040923310819,798.0,6.0,-8.058060646057129
121.0,0.0038239864574029,350.0,8.0,-5.648570645240046
704.0,0.0005125200646393,1181.0,2.0,-0.9923429483175278
291.0,0.0043057328227814,395.0,2.0,-0.7739864277839661
632.0,0.0045550877615453,236.0,3.0,-1.6452255487442016
109.0,0.002901942097922,1227.0,8.0,-8.065654754638672
386.0,0.004544819307378,1073.0,5.0,-8.030108451843262
791.0,0.0034874671147703,918.0,2.0,-0.6319111025333405
824.0,0.0048108040277546,819.0,2.0,-0.65487468957901
939.0,0.0046510833275993,1194.0,7.0,-8.130521774291992
345.0,0.0015133960263516,1004.0,7.0,-8.027565956115723
840.0,0.0036241681227674,1309.0,9.0,-8.099148750305176
663.0,0.0014335568397052,1176.0,7.0,-8.052918780933727
230.0,0.0016897636705176,1128.0,2.0,-0.5973214912414551
535.0,0.0018706089131118,1160.0,6.0,-8.052246348063152
691.0,0.0007913879143501,493.0,1.0,-1.51357475399971
497.0,0.0019995129033321,1254.0,3.0,-0.7883835470676422
133.0,0.0030390197912656,150.0,3.0,-2.253301415443421
876.0,0.0047346034072043,41.0,7.0,-6.770769324302673
81.0,0.0004407067692817,744.0,4.0,-1.4502391362190246
874.0,0.0045253522917436,761.0,9.0,-8.06030559539795
395.0,0.0025297502729033,685.0,1.0,-0.5627654814720153
356.0,0.0016351356474011,533.0,8.0,-4.826130108833313
814.0,0.0042282837012292,1265.0,9.0,-8.102409362792969
368.0,0.004501932553752,513.0,4.0,-1.232031990289688
146.0,0.0043941116616363,1231.0,3.0,-7.79545259475708
598.0,0.0026154304058245,494.0,2.0,-0.7685944092273712
764.0,0.0005253991154034,944.0,7.0,-4.496176924705505
918.0,0.0031530288700234,178.0,9.0,-7.571049771308899
435.0,0.0040485433981359,1164.0,6.0,-8.137514114379883
501.0,0.0027319270282103,1042.0,6.0,-7.6686859130859375
780.0,0.0031702063783588,625.0,2.0,-0.7054951798915863
206.0,0.0012138805961779,855.0,8.0,-8.05125499906994
862.0,0.00333108809249,485.0,4.0,-2.12479119181633
929.0,0.0004219517439772,1218.0,8.0,-6.977061729431153
523.0,0.0002379410154297,952.0,9.0,-6.742757015228271
373.0,0.0034945515245759,120.0,8.0,-5.910941433906555
120.0,0.0017519719077629,83.0,9.0,-6.099206776618957
668.0,0.0034617212536272,557.0,3.0,-1.081180808544159
815.0,0.0008360157999245,78.0,6.0,-7.102784810066223
1000.0,0.0041253225476283,211.0,3.0,-2.148953573703766
706.0,0.0039313501000111,120.0,4.0,-3.761485242843628
934.0,0.0047035310936786,681.0,4.0,-2.822828016281128
975.0,0.000158625178069,1355.0,9.0,-6.867336187362671
531.0,0.0009861130935817,261.0,1.0,-1.741812161207199
748.0,0.0009619952356577,337.0,5.0,-4.186781024932861
761.0,0.0011258354873679,580.0,3.0,-1.4534487581253053
876.0,0.0048281559067085,354.0,7.0,-7.998337046305338
526.0,0.0043775286459353,835.0,7.0,-7.898550510406494
636.0,0.0040260696945449,922.0,3.0,-8.022176742553711
544.0,0.0023559551449861,369.0,7.0,-6.191840047836304
680.0,0.0044536014156521,1493.0,2.0,-0.7092787653207779
812.0,0.0022739538785372,875.0,7.0,-7.73479166507721
249.0,0.0047717488204112,207.0,10.0,-8.052090922991434
805.0,0.0008635402207544,1239.0,1.0,-0.7528272354602814
909.0,0.0004739480927739,643.0,7.0,-5.986965069770813
555.0,0.0005034565387589,820.0,7.0,-4.530580215454101
766.0,0.0037191982326613,868.0,6.0,-7.875097513198851
653.0,0.0001126376209851,762.0,6.0,-5.43519205570221
251.0,0.0002722444611065,357.0,3.0,-2.598082339763641
999.0,0.0014963994974736,1413.0,9.0,-8.052992343902588
975.0,0.0010815845203225,635.0,2.0,-1.2065506708621978
602.0,0.0009874261808536,1272.0,4.0,-1.2359620702266694
109.0,0.0004049491918591,886.0,7.0,-2.318435907363892
514.0,0.0035244562378291,386.0,9.0,-8.0532470703125
685.0,0.0009212316568792,782.0,4.0,-1.627874938249588
902.0,0.0049836208039589,413.0,6.0,-8.036332766215006
479.0,0.0009742690711898,137.0,3.0,-3.5186911153793337
684.0,0.0043984614203491,692.0,2.0,-0.6805382758378983
557.0,0.0022075926458423,1109.0,3.0,-0.8319534593820572
241.0,0.0021829922161323,558.0,4.0,-1.1951335203647613
751.0,0.0031368260063796,1292.0,9.0,-8.072521209716797
593.0,0.0029210134658582,123.0,4.0,-3.5767305183410643
540.0,0.0020707606535524,491.0,4.0,-1.875776904821396
966.0,0.001971186600094,695.0,10.0,-8.052449584007263
809.0,0.0011481866479526,495.0,7.0,-5.769541778564453
889.0,0.0006904220928259,787.0,6.0,-4.054054932594299
960.0,0.0043819742089968,1302.0,9.0,-8.069774627685547
199.0,0.0036429201676835,1150.0,3.0,-7.968902111053467
133.0,0.0010802592182808,834.0,6.0,-1.403009467124939
333.0,4.393322515820365e-05,431.0,7.0,-6.831691794395447
663.0,0.0032209030280155,1100.0,4.0,-1.4141533756256104
850.0,0.0037759219881599,393.0,6.0,-4.457358179092407
477.0,0.0023723086283542,423.0,5.0,-1.987097705602646
895.0,0.0039639946023333,1161.0,6.0,-8.093192100524902
254.0,0.0009511911580089,95.0,8.0,-6.62104293346405
688.0,0.0036307630219746,822.0,2.0,-0.6434152418375015
842.0,0.0033541605766792,1385.0,10.0,-8.069144248962402
666.0,0.0033720292877103,814.0,10.0,-8.057104587554932
657.0,0.0014799713863087,913.0,7.0,-7.928453922271728
984.0,0.0009115783184507,1164.0,3.0,-1.0515388196706772
885.0,0.0028475697441095,1439.0,6.0,-8.028322219848633
393.0,0.0048855703391018,286.0,2.0,-0.8693216353654861
777.0,0.0043699481886947,258.0,2.0,-1.0980093276500702
97.0,0.0008080521086536,1446.0,3.0,-0.7826342540979385
535.0,0.0018203079659301,288.0,4.0,-2.5691382336616515
95.0,0.0038348443476319,148.0,6.0,-3.217191581726074
516.0,0.0044952356103032,874.0,6.0,-8.066664695739746
384.0,0.0012778273697232,33.0,4.0,-6.510968313217163
568.0,0.0018736399519814,37.0,4.0,-6.180165405273438
869.0,0.0006546473252352,795.0,10.0,-7.685074272155762
616.0,0.0012361985893186,412.0,2.0,-1.1959110474586487
998.0,0.0019466288848252,264.0,8.0,-6.835291185379028
400.0,0.0039491150636001,1032.0,1.0,-0.5318391567468643
153.0,0.0013539524363955,21.0,7.0,-7.023640079498291
449.0,0.0030331591336733,678.0,3.0,-0.941094463467598
887.0,0.0012236171986799,1167.0,9.0,-8.04777711868286
143.0,0.0030568745263953,159.0,6.0,-2.902841279506683
262.0,0.0003306780364173,754.0,7.0,-4.604836716651916
839.0,0.0016302615726724,662.0,9.0,-8.051651954650879
554.0,0.0023948107542398,414.0,7.0,-5.031113390922546
224.0,0.0036786916088994,1324.0,8.0,-8.143701553344727
491.0,0.0027035964912408,759.0,3.0,-0.8905340611934662
705.0,0.0022109879390272,1033.0,8.0,-8.054542779922485
449.0,0.0030532239334843,1169.0,3.0,-0.7470551991462707
511.0,0.0020111381093095,650.0,4.0,-1.5392326092720032
225.0,0.0026030513659299,1405.0,7.0,-5.639105439186096
253.0,0.0010122683848731,736.0,4.0,-1.3838759005069732
553.0,0.0015666832917817,346.0,10.0,-7.339092874526978
802.0,0.0049350349275452,887.0,7.0,-8.07923412322998
297.0,0.0023870237859497,321.0,7.0,-3.3898812675476075
934.0,0.0034469901060214,910.0,9.0,-8.063292503356934
423.0,0.003028636340655,666.0,10.0,-8.045186996459961
65.0,0.0002231130022008,679.0,1.0,-0.7680622243881225
949.0,0.0004651469740329,866.0,4.0,-2.464790563583374
321.0,0.0043727076929361,870.0,9.0,-8.078540325164795
286.0,0.0010762017046745,1420.0,1.0,-0.5232012504339218
374.0,0.0049967590033732,198.0,1.0,-0.7610022175312042
339.0,0.0033664690513171,1294.0,6.0,-7.9205217361450195
154.0,0.0033950341412797,415.0,3.0,-1.2057711362838746
848.0,0.003699255045827,531.0,6.0,-4.990006666183472
733.0,0.0049769339003992,715.0,3.0,-1.034504137635231
451.0,0.0029602613311993,564.0,6.0,-7.776005923748016
870.0,0.0003024830927562,73.0,6.0,-7.276700100898743
408.0,0.0039617329365856,733.0,4.0,-1.5244180905818938
712.0,0.0019152439281707,81.0,6.0,-6.596962962150574
424.0,0.0028704126095729,1121.0,3.0,-0.7510691851377487
386.0,0.0038939023472886,57.0,5.0,-5.214209289550781
941.0,0.002820368686137,525.0,2.0,-0.8541698652505875
599.0,0.0039106592130231,549.0,7.0,-7.785600662231445
916.0,0.0006272122096152,471.0,4.0,-2.8404505157470705
810.0,0.0046799701787464,767.0,7.0,-7.827338218688965
630.0,0.0003080672874822,89.0,3.0,-5.794112162590027
361.0,0.0005806324248071,1053.0,3.0,-0.8689277684688568
734.0,0.001017523710653,1229.0,5.0,-2.572723081111908
663.0,0.0011851730518178,503.0,7.0,-4.64731716632843
616.0,0.0012903534488982,1308.0,9.0,-8.052107238769532
761.0,0.0037889320351795,1018.0,2.0,-0.6368406200408936
333.0,0.0012235152596286,566.0,4.0,-1.742930005788803
214.0,0.0037084516876703,749.0,2.0,-0.6843285197019577
408.0,0.0036180077563098,1077.0,3.0,-0.7755090850591659
886.0,0.0028314110831474,1425.0,8.0,-8.066137313842773
219.0,0.0020912018751781,522.0,7.0,-7.869053363800049
612.0,0.0023319423473775,1150.0,7.0,-8.056877613067627
591.0,0.0001614150434866,993.0,2.0,-2.0893208718299867
535.0,0.0039024227654974,521.0,5.0,-2.694804911613464
761.0,0.0041870820647654,1449.0,3.0,-7.849288463592529
286.0,0.0017074130255034,311.0,8.0,-4.778835616111755
697.0,0.0045879405758538,173.0,2.0,-1.3482821345329286
441.0,0.0045621774142777,36.0,2.0,-4.019864044189453
167.0,3.952246905250236e-05,1168.0,3.0,-2.4594419026374816
