batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,normalize_mut,value
808.0,0.01678763811109214,406.0,3.0,199.0,9.0,958469.0,-15036.7032421875
455.0,0.005793494542536567,992.0,6.0,1117.0,2.0,339112.0,-297903.3971875
198.0,0.01249049239655225,847.0,4.0,1154.0,3.0,572642.0,-13628.594755859374
983.0,0.002615207760180022,587.0,5.0,856.0,3.0,598753.0,-11743.9564453125
127.0,0.042038931061622424,349.0,2.0,590.0,8.0,529761.0,-32980424.75
903.0,0.026990030819188285,673.0,9.0,897.0,9.0,998085.0,-25688628.0
774.0,0.015959585777422087,1392.0,2.0,169.0,2.0,232446.0,-14678.4194921875
56.0,0.016093836331901028,368.0,10.0,1493.0,3.0,840744.0,-986197.8125
332.0,0.01667016416203864,755.0,1.0,1210.0,10.0,503385.0,-16888888.0
895.0,0.04837175921058257,180.0,5.0,1237.0,9.0,764435.0,-2959386624.0
581.0,0.008481156306677402,334.0,2.0,868.0,7.0,353023.0,-22916.2064453125
170.0,0.00570530857942338,285.0,7.0,619.0,4.0,123554.0,-12169.936376953125
510.0,0.014220406118431686,1212.0,9.0,724.0,9.0,958300.0,-18786724.0
754.0,0.015039369751514398,465.0,3.0,327.0,8.0,829544.0,-13545.965263671875
608.0,0.0408841480671519,206.0,9.0,1088.0,4.0,859708.0,-6626963.4125
516.0,0.005830385876115866,1158.0,3.0,837.0,7.0,133593.0,-12136.67166015625
490.0,0.029938259043835326,105.0,4.0,410.0,6.0,90243.0,-25676.50982421875
445.0,0.048043923137903864,896.0,3.0,100.0,3.0,704563.0,-458383.39078125
294.0,0.030094045608485408,542.0,7.0,912.0,2.0,109355.0,-12094258.0
833.0,0.009756337524632482,507.0,5.0,457.0,1.0,456037.0,-12835.864541015624
594.0,0.013479957374580513,1313.0,9.0,406.0,5.0,457377.0,-17705946.0
957.0,0.02101570266945824,258.0,6.0,1144.0,7.0,705279.0,-3545001.25
543.0,0.022094616086394424,398.0,2.0,443.0,3.0,21097.0,-13305.291611328124
903.0,0.03853956834800935,463.0,7.0,303.0,4.0,750320.0,-49990456.0
956.0,0.02685334135578363,525.0,7.0,395.0,4.0,762878.0,-1942473.11875
479.0,0.01118646019194028,213.0,2.0,317.0,3.0,969224.0,-12610.119208984375
509.0,0.003094417460946458,1499.0,3.0,898.0,9.0,10233.0,-12197.468125
829.0,0.01434827078115899,478.0,9.0,1046.0,6.0,179312.0,-121361.314375
809.0,0.010848422758635186,504.0,7.0,1165.0,3.0,873458.0,-330582.3125
104.0,0.041212464028948695,846.0,2.0,526.0,1.0,942794.0,-33321.93185546875
817.0,0.018913976285511704,1128.0,8.0,1499.0,6.0,507509.0,-31695480.0
77.0,0.008494133729664597,806.0,3.0,664.0,7.0,837396.0,-12518.034765625
850.0,0.032908469245530036,177.0,7.0,614.0,6.0,588646.0,-980006.5625
519.0,0.04956430545074861,182.0,9.0,1100.0,2.0,145390.0,-2697739.75
862.0,0.04985906991932526,1086.0,5.0,886.0,6.0,553216.0,-34487420.0
787.0,0.009477504829793032,440.0,9.0,1412.0,9.0,169363.0,-1636214.25
331.0,0.04462782625860638,338.0,7.0,1156.0,1.0,18839.0,-453327.07125
