batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,value
988,0.00108652464488,706,3,800,2,-0.000830256990157
911,0.000987631598472,617,1,1046,5,-0.000873675426701
994,0.001008321669216,1146,2,355,6,-0.000884958359529
955,0.002395683310636,832,4,455,4,-0.000934313646285
936,0.000219298230919,1370,5,714,2,-0.000935522304499
899,0.000764780296565,389,7,1345,4,-0.000954992958577
898,0.009585942102738,996,1,569,1,-0.000968586711097
938,0.0005470513717,232,2,355,1,-0.000985470095766
955,0.000664678389931,1317,10,1375,3,-0.000988353106659
779,0.000733969473551,1149,2,466,3,-0.001027778876596
822,0.000928509295471,656,8,871,6,-0.00103821116325
670,0.001212241428959,1325,1,1434,4,-0.001044147215434
891,0.002805437376137,258,4,1416,2,-0.001046824567602
944,0.000522914463057,978,4,259,8,-0.001076799744624
828,0.001561916345377,1007,5,315,6,-0.001086825716193
678,0.000534191321261,906,3,791,3,-0.00108756236441
826,0.001185369524277,440,5,717,1,-0.001087602488114
657,0.002669211073504,1433,2,397,1,-0.00111161116627
898,0.002410685005153,489,2,999,5,-0.001118198788026
940,0.001930243342573,1205,3,1294,9,-0.001133062943118
743,0.000487310332315,241,2,385,4,-0.001144090136513
948,0.001517711401344,440,5,147,6,-0.001153914540773
728,0.00064698770136,380,9,1222,3,-0.001154753357405
896,0.007479825220562,1201,1,510,6,-0.001161609720439
618,0.001308326377189,812,2,985,5,-0.001164459498832
936,0.006687875792407,625,2,139,7,-0.001169636267005
962,0.005971823140164,494,3,87,5,-0.001205418691388
869,0.006317446165042,559,1,183,10,-0.001207293086336
931,0.005601393808808,289,6,283,4,-0.001221602800069
732,0.003906035153021,443,4,177,3,-0.001223566787085
888,0.001963148526779,555,7,1256,7,-0.001250674230978
978,0.008155614424547,443,3,424,2,-0.001257284743479
728,0.003542696230274,208,1,233,6,-0.001261775331805
994,0.005931494685643,123,7,22,6,-0.001269869356765
584,0.00264185673676,744,1,882,4,-0.001278784547467
958,0.00625274008965,1459,2,178,6,-0.001292010300676
664,0.001768873764425,901,3,291,8,-0.001301087073516
856,0.008240556773764,866,1,492,3,-0.001324832700193
527,0.001220366497527,1049,5,822,5,-0.00133052557474
723,0.002968001805352,237,3,107,4,-0.001331830887357
983,0.001296177806214,1477,9,947,5,-0.001336992796278
697,0.001213947116342,456,9,1007,9,-0.00134730916121
781,0.003187132424502,923,1,466,6,-0.001360489486251
934,0.008575473407916,267,2,62,5,-0.001385191439185
890,0.002462445641901,647,4,1161,5,-0.001405158053385
693,0.001437908814773,699,7,314,9,-0.001406806872692
742,0.001748587972656,535,6,944,9,-0.001407852213597
742,0.001481059819208,357,6,1104,10,-0.001408628181089
695,0.001608642632991,172,7,999,3,-0.001409944957122
